date,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,clear,nir,photo_id,grain_type,numpy_file,r_mean,g_mean,b_mean,r_var,g_var,b_var
"2025-01-11,13:35:42",[  219] ,[ 1435] *,[  764] ,[ 1544] *,[ 1636] *,[ 1069] *,[  680] ,[  422] ,[ 1950] *,[   95] ,20250111_133542_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133542_foto_normalized.npy,0.11203,0.11125,0.11133,0.07454,0.07267,0.07276
"2025-01-11,13:35:58",[  219] ,[ 1434] *,[  764] ,[ 1544] *,[ 1633] *,[ 1067] *,[  679] ,[  422] ,[ 1941] *,[   95] ,20250111_133558_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133558_foto_normalized.npy,0.11124,0.11025,0.11084,0.07372,0.07166,0.07231
"2025-01-11,13:36:11",[  219] ,[ 1435] *,[  764] ,[ 1544] *,[ 1635] *,[ 1068] *,[  680] ,[  422] ,[ 1944] *,[   95] ,20250111_133611_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133611_foto_normalized.npy,0.11201,0.11116,0.11122,0.07457,0.07276,0.07291
"2025-01-11,13:38:58",[  219] ,[ 1437] *,[  765] ,[ 1545] *,[ 1637] *,[ 1070] *,[  681] ,[  422] ,[ 1948] *,[   95] ,20250111_133858_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133858_foto_normalized.npy,0.11254,0.1121,0.1125,0.07501,0.07368,0.07427
"2025-01-11,13:39:26",[  220] ,[ 1440] *,[  765] ,[ 1547] *,[ 1639] *,[ 1071] *,[  681] ,[  422] ,[ 1951] *,[   95] ,20250111_133926_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133926_foto_normalized.npy,0.11261,0.11204,0.11164,0.0751,0.07351,0.07301
"2025-01-11,13:39:48",[  219] ,[ 1439] *,[  764] ,[ 1545] *,[ 1637] *,[ 1069] *,[  680] ,[  422] ,[ 1944] *,[   95] ,20250111_133948_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133948_foto_normalized.npy,0.11182,0.11102,0.11171,0.07446,0.07247,0.07335
"2025-01-11,13:39:56",[  220] ,[ 1440] *,[  765] ,[ 1547] *,[ 1638] *,[ 1071] *,[  681] ,[  423] ,[ 1950] *,[   95] ,20250111_133956_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_133956_foto_normalized.npy,0.11158,0.11117,0.11069,0.07376,0.0725,0.072
"2025-01-11,13:40:03",[  219] ,[ 1439] *,[  764] ,[ 1546] *,[ 1637] *,[ 1070] *,[  680] ,[  422] ,[ 1951] *,[   95] ,20250111_134003_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134003_foto_normalized.npy,0.11229,0.11169,0.11137,0.07442,0.07289,0.07268
"2025-01-11,13:40:13",[  219] ,[ 1439] *,[  765] ,[ 1546] *,[ 1638] *,[ 1071] *,[  681] ,[  422] ,[ 1952] *,[   95] ,20250111_134013_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134013_foto_normalized.npy,0.11168,0.11226,0.11165,0.07347,0.07349,0.07291
"2025-01-11,13:40:20",[  219] ,[ 1439] *,[  765] ,[ 1546] *,[ 1638] *,[ 1070] *,[  681] ,[  422] ,[ 1952] *,[   95] ,20250111_134020_foto.jpg,sesquicarbonato,/home/alvaro/Documents/Workspace/midi/data/static_training/processing_n3/data/files_mnsb_data/sesquicarbonato//numpy_files/20250111_134020_foto_normalized.npy,0.11174,0.11219,0.11151,0.07377,0.07357,0.0729
